letter,digit,+,-,*,;,",",(,),[,],{,},<,>,=,!,/,.,"""",delim,rare_char
9,10,14,15,16,17,18,19,20,21,22,23,24,2,3,4,5,6,37,12,1,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,25,37,37,37,37,26,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,27,37,37,37,37,28,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,29,37,37,37,37,30,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,31,37,37,37,37,37,37
32,32,37,37,7,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,32,37
7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,33,8,8,8,8
9,9,34,34,34,34,34,34,34,34,34,37,34,34,34,34,34,34,37,37,34,37
37,10,35,35,35,35,35,37,35,35,35,35,35,35,35,35,35,35,11,37,35,37
37,11,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,37
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,37,37
